code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1101072,3150,3137,237,48,6572,3109,2152,1438,531,1481,7273,0.479306147,0.477328058,0.036062082,0.42747147,0.49360649,0.073009762,0.051834677,-0.016278431,-0.036947681,0.479306147,1,0.001978089,0.477328058,2
1101053,2260,3282,212,36,5790,2146,2072,1161,366,1186,5770,0.390328152,0.566839378,0.036614853,0.371923744,0.560311958,0.063431542,0.018404408,0.00652742,-0.026816689,0.566839378,2,0.176511226,0.390328152,1
1101054,591,767,51,16,1425,617,569,316,131,333,1650,0.414736842,0.538245614,0.035789474,0.373939394,0.536363636,0.079393939,0.040797448,0.001881978,-0.043604466,0.538245614,2,0.123508772,0.414736842,1
1101055,2496,2731,154,41,5422,2354,1931,1139,441,1178,5904,0.460346736,0.503688676,0.028402803,0.398712737,0.51998645,0.074695122,0.061633998,-0.016297774,-0.046292319,0.503688676,2,0.04334194,0.460346736,1
1101056,3866,6248,266,75,10455,3762,4279,2087,659,2144,10844,0.369775227,0.5976088,0.025442372,0.346919956,0.587052748,0.060770933,0.022855271,0.010556052,-0.035328561,0.5976088,2,0.227833572,0.369775227,1
1101057,2162,2586,155,30,4933,1953,1413,1098,291,1116,4773,0.438272856,0.52422461,0.031421042,0.409176618,0.526084224,0.060967945,0.029096238,-0.001859614,-0.029546903,0.52422461,2,0.085951753,0.438272856,1
1101058,2621,3276,193,57,6147,1507,1060,939,212,959,3738,0.426386855,0.532942899,0.03139743,0.403156768,0.534777956,0.056714821,0.023230087,-0.001835057,-0.025317391,0.532942899,2,0.106556044,0.426386855,1
1101060,1252,1243,104,24,2623,1219,892,579,182,600,2893,0.47731605,0.473884865,0.039649257,0.421361908,0.508468718,0.062910474,0.055954142,-0.034583853,-0.023261217,0.47731605,1,0.003431186,0.473884865,2
1101061,1468,1911,81,30,3490,1311,1328,838,181,853,3673,0.420630372,0.54756447,0.023209169,0.356928941,0.589708685,0.049278519,0.063701432,-0.042144215,-0.02606935,0.54756447,2,0.126934097,0.420630372,1
1101063,1305,1460,76,28,2869,1132,994,811,146,829,3101,0.454862321,0.508888114,0.026490066,0.365043534,0.5820703,0.047081587,0.089818787,-0.073182186,-0.02059152,0.508888114,2,0.054025793,0.454862321,1
1101064,2279,2141,174,46,4640,2335,1285,1077,366,1098,5084,0.491163793,0.461422414,0.0375,0.459284028,0.464594807,0.071990559,0.031879765,-0.003172393,-0.034490559,0.491163793,1,0.029741379,0.461422414,2
1101073,4400,4752,364,100,9616,4653,2908,2082,984,2127,10672,0.457570715,0.494176373,0.037853577,0.43600075,0.467578711,0.092203898,0.021569966,0.026597662,-0.054350321,0.494176373,2,0.036605657,0.457570715,1
