dong_cd,dong_nm
1101072,청운효자동
1101053,사직동
1101054,삼청동
1101055,부암동
1101056,평창동
1101057,무악동
1101058,교남동
1101060,가회동
1101061,종로1·2·3·4가동
1101063,종로5·6가동
1101064,이화동
1101073,혜화동
1101067,창신제1동
1101068,창신제2동
1101069,창신제3동
1101070,숭인제1동
1101071,숭인제2동
1102052,소공동
1102054,회현동
1102055,명동
1102057,필동
1102058,장충동
1102059,광희동
1102060,을지로동
1102069,신당동
1102070,다산동
1102071,약수동
1102072,청구동
1102065,신당제5동
1102073,동화동
1102067,황학동
1102068,중림동
1103051,후암동
1103052,용산2가동
1103053,남영동
1103071,청파동
1103072,원효로제1동
1103057,원효로제2동
1103058,효창동
1103059,용문동
1103073,한강로동
1103063,이촌제1동
1103064,이촌제2동
1103065,이태원제1동
1103066,이태원제2동
1103074,한남동
1103069,서빙고동
1103070,보광동
1104059,금호1가동
1104072,금호2·3가동
1104062,금호4가동
1104073,옥수동
1104058,응봉동
1104065,성수1가제1동
1104066,성수1가제2동
1104067,성수2가제1동
1104068,성수2가제3동
1104071,왕십리도선동
1104052,왕십리제2동
1104056,행당제1동
1104057,행당제2동
1104054,마장동
1104055,사근동
1104069,송정동
1104070,용답동
1105055,중곡제1동
1105056,중곡제2동
1105057,중곡제3동
1105058,중곡제4동
1105059,능동
1105060,구의제1동
1105061,구의제2동
1105062,구의제3동
1105063,광장동
1105064,자양제1동
1105065,자양제2동
1105066,자양제3동
1105067,자양제4동
1105053,화양동
1105054,군자동
1106081,용신동
1106082,제기동
1106083,전농제1동
1106084,전농제2동
1106091,답십리제1동
1106086,답십리제2동
1106087,장안제1동
1106088,장안제2동
1106080,청량리동
1106071,회기동
1106072,휘경제1동
1106073,휘경제2동
1106089,이문제1동
1106090,이문제2동
1107071,면목본동
1107052,면목제2동
1107072,면목제3·8동
1107054,면목제4동
1107055,면목제5동
1107057,면목제7동
1107059,상봉제1동
1107060,상봉제2동
1107061,중화제1동
1107062,중화제2동
1107064,묵제1동
1107065,묵제2동
1107073,망우본동
1107068,망우제3동
1107069,신내제1동
1107070,신내제2동
1108081,성북동
1108082,삼선동
1108083,동선동
1108058,돈암제1동
1108059,돈암제2동
1108060,안암동
1108061,보문동
1108062,정릉제1동
1108063,정릉제2동
