gu_nm,gu_cd
종로구,11010
중구,11020
용산구,11030
성동구,11040
광진구,11050
동대문구,11060
중랑구,11070
성북구,11080
강북구,11090
도봉구,11100
노원구,11110
은평구,11120
서대문구,11130
마포구,11140
양천구,11150
강서구,11160
구로구,11170
금천구,11180
영등포구,11190
동작구,11200
관악구,11210
서초구,11220
강남구,11230
송파구,11240
강동구,11250
중구,21010
서구,21020
동구,21030
영도구,21040
부산진구,21050
동래구,21060
남구,21070
북구,21080
해운대구,21090
기장군,21310
사하구,21100
금정구,21110
강서구,21120
연제구,21130
수영구,21140
사상구,21150
중구,22010
동구,22020
서구,22030
남구,22040
북구,22050
수성구,22060
달서구,22070
달성군,22310
중구,23010
동구,23020
미추홀구,23090
연수구,23040
남동구,23050
부평구,23060
계양구,23070
서구,23080
강화군,23310
옹진군,23320
동구,24010
서구,24020
남구,24030
북구,24040
광산구,24050
동구,25010
중구,25020
서구,25030
유성구,25040
대덕구,25050
중구,26010
남구,26020
동구,26030
북구,26040
울주군,26310
수원시장안구,31011
수원시권선구,31012
수원시팔달구,31013
수원시영통구,31014
성남시수정구,31021
성남시중원구,31022
성남시분당구,31023
의정부시,31030
안양시만안구,31041
안양시동안구,31042
광명시,31060
평택시,31070
양주시,31260
동두천시,31080
안산시상록구,31091
안산시단원구,31092
고양시덕양구,31101
고양시일산동구,31103
고양시일산서구,31104
과천시,31110
의왕시,31170
구리시,31120
남양주시,31130
오산시,31140
화성시,31240
시흥시,31150
군포시,31160
하남시,31180
파주시,31200
여주시,31280
이천시,31210
용인시처인구,31191
용인시수지구,31193
용인시기흥구,31192
안성시,31220
김포시,31230
광주시,31250
포천시,31270
연천군,31350
양평군,31380
가평군,31370
부천시,31050
춘천시,32010
원주시,32020
강릉시,32030
동해시,32040
삼척시,32070
태백시,32050
정선군,32350
속초시,32060
고성군,32400
양양군,32410
인제군,32390
홍천군,32310
횡성군,32320
영월군,32330
평창군,32340
화천군,32370
양구군,32380
철원군,32360
청주시상당구,33041
청주시흥덕구,33043
충주시,33020
제천시,33030
단양군,33380
청주시청원구,33044
영동군,33340
보은군,33320
옥천군,33330
음성군,33370
진천군,33350
괴산군,33360
증평군,33390
청주시서원구,33042
공주시,34020
보령시,34030
아산시,34040
서산시,34050
태안군,34380
금산군,34310
논산시,34060
계룡시,34070
부여군,34330
서천군,34340
홍성군,34360
청양군,34350
예산군,34370
당진시,34080
천안시서북구,34012
천안시동남구,34011
전주시완산구,35011
전주시덕진구,35012
군산시,35020
익산시,35030
정읍시,35040
남원시,35050
김제시,35060
완주군,35310
진안군,35320
무주군,35330
장수군,35340
임실군,35350
순창군,35360
고창군,35370
부안군,35380
목포시,36010
여수시,36020
순천시,36030
나주시,36040
광양시,36060
담양군,36310
장성군,36450
곡성군,36320
구례군,36330
고흥군,36350
보성군,36360
화순군,36370
장흥군,36380
강진군,36390
완도군,36460
해남군,36400
진도군,36470
영암군,36410
무안군,36420
영광군,36440
함평군,36430
신안군,36480
포항시북구,37012
포항시남구,37011
울릉군,37430
경주시,37020
김천시,37030
안동시,37040
구미시,37050
영주시,37060
영천시,37070
상주시,37080
문경시,37090
예천군,37400
경산시,37100
청도군,37360
고령군,37370
성주군,37380
칠곡군,37390
군위군,37310
의성군,37320
청송군,37330
영양군,37340
영덕군,37350
봉화군,37410
울진군,37420
진주시,38030
통영시,38050
고성군,38340
사천시,38060
김해시,38070
밀양시,38080
거제시,38090
의령군,38310
함안군,38320
창녕군,38330
양산시,38100
하동군,38360
남해군,38350
함양군,38380
산청군,38370
거창군,38390
합천군,38400
창원시의창구,38111
창원시성산구,38112
창원시마산합포구,38113
창원시마산회원구,38114
창원시진해구,38115
제주시,39010
서귀포시,39020
세종특별자치시,29010
